"Day","Cash On Hand"
1,3487400
2,3282560
3,3238720
4,685868
5,267965
6,294550
7,389357
8,171298
9,143437
10,557267
11,129301
12,537672
13,274398
14,185490
15,168775
16,130193
17,847688
18,232414
19,103202
20,354499
21,413298
22,106379
23,112142
24,425015
25,119456
26,431611
27,326162
28,520872
29,298250
30,558430
31,117849
32,185076
33,366402
34,441462
35,248115
36,604294
37,103930
38,258753
39,191674
40,795119
41,1183841
42,419752
43,413089
44,385656
45,205941
46,350513
47,247645
48,211662
49,309038
50,59911
51,668996
52,1537212
53,700610
54,683221
55,586753
56,1293259
57,1472292
58,1888886
59,2006144
60,2002181
61,2184485
62,2562166
63,2656273
64,2510784
65,2713578
66,2226060
67,2383394
68,2476399
69,2506201
70,2064746
71,2188192
72,2372233
73,2852047
74,2785099
75,2643934
76,2744913
77,2840538
78,3368595
79,4115027
80,5376049
81,6769161
82,7630496
83,6673077
84,5981710
85,5672168
86,5829567
87,5626418
88,5757282
89,6553410
90,6715089
