Day,Sales,Trading profit ,Operating expenses,Net Profit 
1,0.00,0.00,"12,600.00","-12,600.00"
2,0.00,0.00,"217,440.00","-217,440.00"
3,0.00,0.00,"261,280.00","-261,280.00"
4,"57,516.00","16,840.00","305,008.00","-288,168.00"
5,"115,264.00","33,124.00","411,659.00","-378,535.00"
6,"172,416.00","52,539.00","452,226.00","-399,687.00"
7,"276,286.00","88,689.00","504,159.00","-415,470.00"
8,"379,872.00","91,298.00","551,779.00","-460,481.00"
9,"517,900.00","106,130.00","598,296.00","-492,166.00"
10,"1,089,799.00","304,617.00","655,622.00","-351,005.00"
11,"1,727,899.00","536,804.00","704,568.00","-167,764.00"
12,"2,181,274.00","756,797.00","756,926.00",-129.00
13,"2,453,948.00","892,410.00","795,526.00","96,884.00"
14,"2,595,370.00","606,811.00","842,740.00","-235,929.00"
15,"4,141,111.00","1,156,833.00","908,062.00","248,771.00"
16,"4,296,811.00","1,237,306.00","957,219.00","280,087.00"
17,"5,683,066.00","1,323,858.00","1,010,979.00","312,879.00"
18,"5,771,368.00","1,318,556.00","1,041,129.00","277,427.00"
19,"5,845,042.00","1,333,268.00","1,082,415.00","250,853.00"
20,"6,153,154.00","1,357,432.00","1,149,230.00","208,202.00"
21,"8,373,194.00","1,947,902.00","1,434,047.00","513,855.00"
22,"8,464,519.00","1,991,994.00","1,485,941.00","506,053.00"
23,"8,621,353.00","2,058,343.00","1,544,682.00","513,661.00"
24,"8,990,692.00","2,181,383.00","1,611,148.00","570,235.00"
25,"9,411,854.00","2,317,962.00","1,668,909.00","649,053.00"
26,"10,739,803.00","2,804,208.00","1,726,009.00","1,078,199.00"
27,"11,736,749.00","3,010,684.00","1,784,999.00","1,225,685.00"
28,"12,205,793.00","3,229,187.00","1,861,253.00","1,367,934.00"
29,"12,374,841.00","3,347,030.00","1,950,803.00","1,396,227.00"
30,"13,027,007.00","3,623,346.00","2,005,649.00","1,617,697.00"
31,"13,543,399.00","3,714,363.00","2,062,872.00","1,651,491.00"
32,"14,346,435.00","3,865,871.00","2,121,502.00","1,744,369.00"
33,"14,746,037.00","4,016,739.00","2,180,518.00","1,836,221.00"
34,"16,034,671.00","4,336,978.00","2,238,058.00","2,098,920.00"
35,"16,214,300.00","4,445,165.00","2,315,514.00","2,129,651.00"
36,"16,789,951.00","4,624,287.00","2,414,659.00","2,209,628.00"
37,"17,242,417.00","4,891,913.00","2,489,989.00","2,401,924.00"
38,"18,641,331.00","5,454,732.00","2,578,874.00","2,875,858.00"
39,"20,024,717.00","5,803,821.00","2,633,577.00","3,170,244.00"
40,"20,851,434.00","6,035,369.00","2,686,448.00","3,348,921.00"
41,"21,536,116.00","6,214,409.00","2,742,508.00","3,471,901.00"
42,"22,885,792.00","6,813,657.00","2,865,268.00","3,948,389.00"
43,"23,423,240.00","7,034,343.00","2,939,717.00","4,094,626.00"
44,"25,162,434.00","7,527,103.00","3,003,558.00","4,523,545.00"
