[HIGHEST OVERHEAD] Marketing Expense: 31.4%
[CASH DEFICIT] DAY: 2, AMOUNT: USD204840
[CASH DEFICIT] DAY: 3, AMOUNT: USD43840
[CASH DEFICIT] DAY: 4, AMOUNT: USD2552852
[CASH DEFICIT] DAY: 5, AMOUNT: USD417903
[CASH DEFICIT] DAY: 8, AMOUNT: USD218059
[CASH DEFICIT] DAY: 9, AMOUNT: USD27861
[CASH DEFICIT] DAY: 11, AMOUNT: USD427966
[CASH DEFICIT] DAY: 13, AMOUNT: USD263274
[CASH DEFICIT] DAY: 14, AMOUNT: USD88908
[CASH DEFICIT] DAY: 15, AMOUNT: USD16715
[CASH DEFICIT] DAY: 16, AMOUNT: USD38582
[CASH DEFICIT] DAY: 18, AMOUNT: USD615274
[CASH DEFICIT] DAY: 19, AMOUNT: USD129212
[CASH DEFICIT] DAY: 22, AMOUNT: USD306919
[CASH DEFICIT] DAY: 25, AMOUNT: USD305559
[CASH DEFICIT] DAY: 27, AMOUNT: USD105449
[CASH DEFICIT] DAY: 29, AMOUNT: USD222622
[CASH DEFICIT] DAY: 31, AMOUNT: USD440581
[CASH DEFICIT] DAY: 35, AMOUNT: USD193347
[CASH DEFICIT] DAY: 37, AMOUNT: USD500364
[CASH DEFICIT] DAY: 39, AMOUNT: USD67079
[CASH DEFICIT] DAY: 42, AMOUNT: USD764089
[CASH DEFICIT] DAY: 43, AMOUNT: USD6663
[CASH DEFICIT] DAY: 44, AMOUNT: USD27433
[CASH DEFICIT] DAY: 45, AMOUNT: USD179715
[CASH DEFICIT] DAY: 47, AMOUNT: USD102868
[CASH DEFICIT] DAY: 48, AMOUNT: USD35983
[CASH DEFICIT] DAY: 50, AMOUNT: USD249127
[CASH DEFICIT] DAY: 53, AMOUNT: USD836602
[CASH DEFICIT] DAY: 54, AMOUNT: USD17389
[CASH DEFICIT] DAY: 55, AMOUNT: USD96468
[CASH DEFICIT] DAY: 60, AMOUNT: USD3963
[CASH DEFICIT] DAY: 64, AMOUNT: USD145489
[CASH DEFICIT] DAY: 66, AMOUNT: USD487518
[CASH DEFICIT] DAY: 70, AMOUNT: USD441455
[CASH DEFICIT] DAY: 74, AMOUNT: USD66948
[CASH DEFICIT] DAY: 75, AMOUNT: USD141165
[CASH DEFICIT] DAY: 83, AMOUNT: USD957419
[CASH DEFICIT] DAY: 84, AMOUNT: USD691367
[CASH DEFICIT] DAY: 85, AMOUNT: USD309542
[CASH DEFICIT] DAY: 87, AMOUNT: USD203149
[PROFIT DEFICIT] DAY: 2, AMOUNT: USD204840
[PROFIT DEFICIT] DAY: 3, AMOUNT: USD43840
[PROFIT DEFICIT] DAY: 4, AMOUNT: USD26888
[PROFIT DEFICIT] DAY: 5, AMOUNT: USD90367
[PROFIT DEFICIT] DAY: 6, AMOUNT: USD21152
[PROFIT DEFICIT] DAY: 7, AMOUNT: USD15783
[PROFIT DEFICIT] DAY: 8, AMOUNT: USD45011
[PROFIT DEFICIT] DAY: 9, AMOUNT: USD31685
[PROFIT DEFICIT] DAY: 14, AMOUNT: USD332813
[PROFIT DEFICIT] DAY: 18, AMOUNT: USD35452
[PROFIT DEFICIT] DAY: 19, AMOUNT: USD26574
[PROFIT DEFICIT] DAY: 20, AMOUNT: USD42651
[PROFIT DEFICIT] DAY: 22, AMOUNT: USD7802
[PROFIT DEFICIT] DAY: 50, AMOUNT: USD1390
[PROFIT DEFICIT] DAY: 54, AMOUNT: USD12810
[PROFIT DEFICIT] DAY: 84, AMOUNT: USD62924
